Mouse_20110408_610x610x660um, min seglength =  50.0
609.280000 609.280000 662.000000 box dimensions in microns
30   30   30	number of tissue points in x,y,z directions
50.	outer bound distance (100. in test case)
100.	max. segment length.  (5. in test case)
4 nodsegm, max. allowed number of segments per node
3573	total number of segments
name  type   from   to   diam. rel. flow  hem.
661 4 785 788 4.000000 0.149300 0.400000
665 4 796 803 4.000000 0.516790 0.400000
672 4 803 805 4.000000 0.516790 0.400000
674 4 805 848 5.000000 0.345195 0.400000
684 4 817 820 4.000000 1.836939 0.400000
687 4 820 829 3.000000 0.777367 0.400000
696 4 829 831 3.000000 0.777367 0.400000
698 4 832 831 5.000000 -0.681293 0.400000
699 4 18090 1351 3.000000 -0.368563 0.400000
700 4 771 838 5.500000 -6.284289 0.400000
711 4 848 851 5.000000 0.345195 0.400000
714 4 851 858 4.000000 0.298068 0.400000
721 4 858 1738 5.000000 -0.201392 0.400000
724 4 788 870 6.000000 -1.049856 0.400000
733 4 870 832 6.000000 -1.049856 0.400000
742 4 788 792 11.000000 23.674492 0.400000
743 4 18577 964 10.000000 17.563509 0.400000
747 4 885 907 11.000000 -9.842450 0.400000
748 4 18093 18129 12.000000 9.993706 0.400000
751 4 907 18095 6.000000 -2.746854 0.400000
758 4 885 18093 12.000000 9.993706 0.400000
764 4 920 928 5.000000 -1.468680 0.400000
774 4 18095 2647 6.000000 -2.746854 0.400000
779 4 934 928 5.000000 0.974838 0.400000
781 4 680 2538 4.000000 -0.766414 0.400000
792 4 951 947 9.000000 -25.165001 0.400000
793 4 722 961 6.000000 30.014515 0.400000
802 4 961 1306 6.000000 30.014515 0.400000
812 4 18137 988 6.000000 12.871857 0.400000
817 4 18099 29 20.000000 458.049988 0.400000
821 4 988 990 6.000000 12.871857 0.400000
824 4 990 1707 7.000000 12.781318 0.400000
826 4 1012 381 3.000000 -0.410446 0.400000
843 4 1012 1021 3.000000 0.410446 0.400000
852 4 1032 19910 3.000000 -0.410446 0.400000
862 4 1032 1041 3.000000 0.410446 0.400000
871 4 1041 1052 3.000000 0.410446 0.400000
882 4 1052 503 3.000000 0.410446 0.400000
887 4 19926 2593 5.000000 1.845274 0.400000
890 4 18100 3895 3.000000 -0.166464 0.400000
898 4 18100 18101 3.000000 0.166464 0.400000
906 4 1077 18101 3.000000 -0.166464 0.400000
913 4 1086 1093 5.000000 -1.425107 0.400000
920 4 1093 1009 5.000000 -1.425107 0.400000
923 4 1077 1098 5.000000 0.769687 0.400000
925 4 1098 1100 5.000000 1.591571 0.400000
927 4 1100 1104 6.000000 3.779586 0.400000
929 4 1106 1104 6.000000 -4.276969 0.400000
930 4 920 2630 5.000000 -2.369633 0.400000
935 4 5491 1121 6.500000 -0.897493 0.400000
937 4 1121 18107 4.000000 -0.177453 0.400000
941 4 18107 1134 4.000000 -0.177453 0.400000
950 4 1134 1136 4.000000 -0.177453 0.400000
952 4 1136 1144 3.000000 -0.914746 0.400000
959 4 1144 18108 4.000000 0.735723 0.400000
965 4 18108 1156 4.000000 0.735723 0.400000
971 4 1156 1159 5.500000 0.752976 0.400000
974 4 1175 3695 6.000000 -4.644829 0.400000
976 4 1164 1121 5.500000 0.720040 0.400000
977 4 1164 1173 3.000000 0.017254 0.400000
986 4 1156 1173 3.000000 -0.017254 0.400000
990 4 18111 18112 5.000000 -0.737294 0.400000
997 4 18112 1136 5.000000 -0.737294 0.400000
998 4 1144 1204 3.000000 0.906989 0.400000
1004 4 1204 1211 6.500000 0.755444 0.400000
1011 4 1211 1215 6.500000 0.755444 0.400000
1015 4 1215 1222 5.000000 1.385537 0.400000
1023 4 18427 1182 14.000000 -18.721880 0.400000
1032 4 18174 510 11.000000 -1.221689 0.400000
1033 4 649 18115 11.000000 19.109306 0.400000
1034 4 18115 1712 11.000000 19.109306 0.400000
1038 4 1268 1262 4.000000 -0.044390 0.400000
1048 4 1262 1287 4.000000 -0.044390 0.400000
1054 4 1268 1278 4.000000 0.044390 0.400000
1064 4 1278 19785 4.000000 0.044390 0.400000
1072 4 1287 1296 4.000000 -0.044390 0.400000
1081 4 1296 1302 4.000000 -0.044390 0.400000
1087 4 1302 19892 5.000000 -0.130849 0.400000
1090 4 18116 1316 4.000000 0.086459 0.400000
1100 4 1316 1326 4.000000 0.086459 0.400000
1110 4 1326 1331 4.000000 0.086459 0.400000
1117 4 1336 1331 7.000000 1.339382 0.400000
1119 4 1336 1340 2.000000 -0.697031 0.400000
1128 4 1351 1361 3.000000 -0.368563 0.400000
1138 4 1361 1369 3.000000 -0.368563 0.400000
1146 4 1369 764 3.000000 -0.368563 0.400000
1152 4 1377 820 6.000000 -1.059572 0.400000
1155 4 1377 3523 3.000000 0.635543 0.400000
1165 4 18129 903 12.000000 9.993706 0.400000
1168 4 1385 903 12.000000 -10.675088 0.400000
1176 4 1397 559 5.000000 -1.345711 0.400000
1180 4 1408 1009 4.000000 -0.379181 0.400000
1189 4 1408 1417 4.000000 0.379181 0.400000
1198 4 1417 1425 4.000000 0.379181 0.400000
1206 4 269 19878 6.000000 -11.663596 0.400000
1211 4 1425 18124 4.000000 0.227926 0.400000
1215 4 18124 18134 4.000000 0.227926 0.400000
1223 4 805 1448 4.000000 0.171595 0.400000
1232 4 1450 788 10.000000 22.475336 0.400000
1233 4 19891 1460 4.000000 -0.127135 0.400000
1242 4 1460 1469 4.000000 -0.127135 0.400000
1251 4 1469 776 4.000000 -0.127135 0.400000
1255 4 610 1476 7.000000 23.708565 0.400000
1260 4 1476 1479 5.000000 2.440742 0.400000
1266 4 1476 1486 9.000000 21.267822 0.400000
1268 4 1486 1487 9.000000 21.267822 0.400000
1270 4 1492 1516 5.000000 -1.055319 0.400000
1273 4 1492 1504 5.000000 0.386854 0.400000
1285 4 1504 1608 5.000000 0.386854 0.400000
1297 4 1516 1521 5.000000 -1.008192 0.400000
1309 4 1529 1521 4.000000 0.586554 0.400000
1310 4 1529 1583 5.000000 -1.259762 0.400000
1311 4 1529 18127 3.000000 0.673208 0.400000
1318 4 18127 3811 3.000000 0.673208 0.400000
1325 4 1492 1553 5.000000 0.668465 0.400000
1334 4 1553 1251 5.000000 0.668465 0.400000
1341 4 1521 1598 4.000000 -0.421638 0.400000
1345 4 1516 1571 3.000000 -0.047127 0.400000
1353 4 1571 851 3.000000 -0.047127 0.400000
1365 4 1583 2593 5.000000 -1.845274 0.400000
1380 4 1598 1600 4.000000 -0.421638 0.400000
1382 4 1600 1583 4.500000 -0.585511 0.400000
1391 4 1608 1618 5.000000 0.386854 0.400000
1401 4 1618 1620 5.000000 0.386854 0.400000
1414 4 2142 18174 11.000000 -1.221689 0.400000
1418 4 1635 510 5.000000 -0.154406 0.400000
1419 4 1425 1645 4.000000 0.151255 0.400000
1429 4 1645 1655 4.000000 0.151255 0.400000
1441 4 885 1655 4.000000 -0.151255 0.400000
1442 4 18134 1663 4.000000 0.227926 0.400000
1448 4 1663 1676 5.000000 0.022529 0.400000
1450 4 1670 1663 6.000000 -0.205397 0.400000
1457 4 1676 1681 5.000000 0.022529 0.400000
1462 4 1681 18177 5.000000 0.034996 0.400000
1468 4 1086 1098 2.000000 0.821884 0.400000
1472 4 1100 1697 7.000000 -2.188015 0.400000
1475 4 1086 1077 3.000000 0.603223 0.400000
1479 4 990 5025 3.000000 0.090540 0.400000
1486 4 978 989 6.000000 -12.871857 0.400000
1489 4 978 18137 6.000000 12.871857 0.400000
1496 4 1711 1707 7.000000 -12.781318 0.400000
1498 4 1712 942 18.000000 -24.070696 0.400000
1499 4 1712 1250 21.000000 43.180004 0.400000
1502 4 18141 1718 10.000000 1.425841 0.400000
1503 4 18141 1331 10.000000 -1.425841 0.400000
1506 4 1340 1731 6.000000 -0.975793 0.400000
1511 4 1738 1731 5.000000 -0.201392 0.400000
1521 4 858 1748 5.000000 0.499460 0.400000
1528 4 1748 1750 5.000000 0.499460 0.400000
1530 4 1750 1336 3.000000 0.642351 0.400000
1533 4 1726 1718 16.000000 44.501270 0.400000
1535 4 1718 18289 20.000000 45.927113 0.400000
1536 4 11 18099 20.000000 458.049988 0.400000
1539 4 1690 1768 7.000000 -1.182207 0.400000
1550 4 1774 1768 7.000000 1.182207 0.400000
1555 4 18148 1790 4.000000 -0.229295 0.400000
1563 4 1790 1841 4.000000 -0.229295 0.400000
1568 4 18149 1803 3.500000 0.625162 0.400000
1576 4 1803 1805 3.500000 0.625162 0.400000
1578 4 1807 1815 6.000000 2.332763 0.400000
1586 4 1815 1823 6.000000 2.332763 0.400000
1594 4 1823 1831 6.000000 2.332763 0.400000
1602 4 1831 1832 6.000000 2.332763 0.400000
1603 4 1832 1838 6.000000 2.389817 0.400000
1610 4 1841 18151 4.000000 0.067349 0.400000
1614 4 18151 18152 4.000000 0.067349 0.400000
1616 4 1841 1805 3.500000 -0.296644 0.400000
1619 4 4756 1838 6.000000 -2.389817 0.400000
1626 4 18152 1863 4.000000 0.067349 0.400000
1633 4 18153 1871 5.500000 -0.796828 0.400000
1641 4 1871 1879 5.500000 -0.796828 0.400000
1649 4 1879 1883 5.500000 -0.796828 0.400000
1655 4 1912 1895 6.000000 -0.703218 0.400000
1663 4 1895 1898 6.000000 -0.703218 0.400000
1666 4 1900 1898 4.500000 -0.126038 0.400000
1668 4 1900 1906 5.000000 0.253891 0.400000
1674 4 1906 3804 5.000000 0.187479 0.400000
1687 4 1929 1936 12.500000 0.831607 0.400000
1691 4 1936 1980 12.500000 0.831607 0.400000
1694 4 1900 1947 4.000000 -0.127852 0.400000
1702 4 1947 1955 4.000000 -0.127852 0.400000
1710 4 1955 1963 4.000000 -0.127852 0.400000
1718 4 1963 1971 4.000000 -0.127852 0.400000
1726 4 1971 1972 4.000000 -0.127852 0.400000
1727 4 1972 18156 4.000000 -0.461741 0.400000
1729 4 18156 10526 4.000000 -0.461741 0.400000
1735 4 1929 1921 12.500000 -0.831607 0.400000
1739 4 1980 1988 8.000000 0.834670 0.400000
1747 4 1988 5369 8.000000 0.834670 0.400000
1752 4 1980 1997 10.000000 -0.003064 0.400000
1756 4 1997 18157 2.500000 -0.333889 0.400000
1757 4 18157 2008 2.500000 -0.333889 0.400000
1767 4 2008 18158 2.500000 -0.333889 0.400000
1776 4 232 2027 3.000000 0.593388 0.400000
1794 4 18350 130 18.500000 -312.638214 0.400000
1795 4 2039 18922 18.500000 -312.638214 0.400000
1798 4 2045 2043 5.000000 -0.265483 0.400000
1799 4 2045 2055 4.000000 -0.213059 0.400000
1809 4 2055 4972 4.000000 -0.213059 0.400000
1818 4 2069 102 5.000000 1.744685 0.400000
1822 4 2073 2069 6.000000 0.702047 0.400000
1826 4 2073 2082 4.000000 -0.351214 0.400000
1837 4 2090 2069 4.500000 1.042639 0.400000
1844 4 2093 2090 5.000000 0.722139 0.400000
1846 4 2093 18166 2.000000 -0.403247 0.400000
1851 4 18166 2102 2.000000 -0.403247 0.400000
1855 4 2104 2102 2.000000 0.639361 0.400000
1856 4 2104 2775 5.000000 -1.309086 0.400000
1862 4 81 99 18.000000 28.753656 0.400000
1865 4 2073 2119 2.000000 -0.350833 0.400000
1874 4 2119 2125 2.000000 -0.350833 0.400000
1880 4 2125 2104 4.000000 -0.669725 0.400000
1889 4 18349 130 20.000000 403.279510 0.400000
1893 4 19794 1250 22.000000 -43.892857 0.400000
1896 4 18430 19794 22.000000 -43.892857 0.400000
1901 4 4252 18312 18.000000 -19.902655 0.400000
1902 4 19833 3130 19.000000 23.398537 0.400000
1903 4 18231 18230 16.000000 16.926296 0.400000
1906 4 1390 1385 12.000000 -10.723396 0.400000
1909 4 2164 2166 5.000000 -0.197528 0.400000
1910 4 2166 2174 3.000000 0.493842 0.400000
1918 4 2174 2184 3.000000 0.493842 0.400000
1928 4 2184 928 3.000000 0.493842 0.400000
1930 4 2164 2193 3.000000 0.327588 0.400000
1938 4 2193 3433 3.000000 -0.721441 0.400000
1944 4 934 18207 2.000000 -1.446774 0.400000
1948 4 2193 18175 2.000000 1.049029 0.400000
1953 4 18175 2213 2.000000 1.049029 0.400000
1958 4 3477 2214 11.000000 4.916011 0.400000
1959 4 934 2223 5.000000 0.471936 0.400000
1967 4 2223 2231 5.000000 0.471936 0.400000
1975 4 2231 2239 5.000000 0.471936 0.400000
1983 4 2239 2247 5.000000 0.471936 0.400000
1991 4 2247 2250 5.000000 0.471936 0.400000
1996 4 1670 2258 5.000000 0.212175 0.400000
2000 4 2258 2267 5.000000 0.212175 0.400000
2011 4 1774 2267 8.000000 -1.132847 0.400000
2014 4 2278 2271 7.000000 0.521988 0.400000
2015 4 2278 2285 7.000000 -0.327109 0.400000
2021 4 1681 2293 8.500000 -0.012467 0.400000
2028 4 1670 2298 5.500000 -0.006778 0.400000
2029 4 2298 2302 4.000000 0.030998 0.400000
2033 4 2302 2313 5.000000 -0.034996 0.400000
2043 4 2313 18177 5.000000 -0.034996 0.400000
2053 4 2330 2339 8.000000 -0.355051 0.400000
2062 4 2302 2350 4.000000 0.065994 0.400000
2073 4 2350 2356 4.000000 0.065994 0.400000
2077 4 4238 2356 4.000000 -0.134429 0.400000
2081 4 18230 2293 16.000000 16.926296 0.400000
2086 4 2298 4219 3.500000 -0.037776 0.400000
2090 4 2297 5774 3.000000 0.338880 0.400000
2094 4 2381 2377 4.000000 1.394979 0.400000
2097 4 2381 2383 7.000000 0.643860 0.400000
2099 4 2383 2387 4.000000 -0.058369 0.400000
2103 4 18185 2395 5.000000 -1.305601 0.400000
2114 4 2401 2395 5.000000 1.305601 0.400000
2116 4 2401 7060 3.000000 0.408432 0.400000
2125 4 2377 2423 4.000000 0.624512 0.400000
2143 4 653 652 11.000000 19.109306 0.400000
2144 4 2383 2439 3.000000 0.702229 0.400000
2154 4 2439 2444 3.000000 0.702229 0.400000
2159 4 2444 655 2.000000 0.827635 0.400000
2164 4 18188 2450 7.000000 8.957721 0.400000
2166 4 2381 2462 4.000000 -2.038839 0.400000
2176 4 351 2462 4.000000 2.038839 0.400000
2177 4 2387 3246 4.000000 1.247232 0.400000
2185 4 2471 2477 3.000000 -0.612466 0.400000
2191 4 2478 2477 3.000000 -1.479739 0.400000
2195 4 2477 2486 5.000000 -2.092205 0.400000
2198 4 2486 2494 5.000000 -2.092205 0.400000
2206 4 2494 2502 5.000000 -2.092205 0.400000
2214 4 2502 2510 5.000000 -2.092205 0.400000
2222 4 2510 2514 5.000000 -2.092205 0.400000
2226 4 18190 2522 3.500000 0.799659 0.400000
2236 4 47 2525 16.000000 -4.544063 0.400000
2238 4 2527 693 4.000000 2.025425 0.400000
2240 4 18192 4461 5.500000 -1.906829 0.400000
2251 4 2538 2554 5.000000 -0.602540 0.400000
2262 4 1600 2538 2.500000 0.163873 0.400000
2268 4 2554 2562 5.000000 -0.941306 0.400000
2276 4 2562 2568 5.000000 -0.941306 0.400000
2285 4 2554 2584 4.000000 0.338766 0.400000
2296 4 2584 2588 4.000000 0.338766 0.400000
2303 4 942 2588 4.000000 -1.039960 0.400000
2308 4 2596 2594 7.500000 -1.507664 0.400000
2320 4 18721 569 6.500000 -17.007002 0.400000
2322 4 2604 18721 6.500000 -17.007002 0.400000
2326 4 564 165 8.000000 -35.461761 0.400000
2327 4 18203 2615 5.000000 8.072101 0.400000
2334 4 2615 3205 7.000000 6.007748 0.400000
2337 4 2620 18481 9.000000 9.488129 0.400000
2338 4 920 919 7.500000 3.838313 0.400000
2347 4 2630 18205 5.000000 -2.369633 0.400000
2349 4 18205 18206 5.000000 -2.369633 0.400000
2356 4 18206 2691 5.000000 -2.369633 0.400000
2364 4 2647 2655 6.000000 -2.746854 0.400000
2372 4 2655 3216 6.000000 -2.746854 0.400000
2375 4 919 907 8.000000 7.095596 0.400000
2378 4 18207 2665 2.000000 -1.446774 0.400000
2384 4 18209 2665 7.000000 3.816406 0.400000
2385 4 18209 2675 7.000000 -3.816406 0.400000
2393 4 2675 2681 7.000000 -3.816406 0.400000
2399 4 2685 2681 7.000000 5.744230 0.400000
2407 4 919 18380 6.000000 -3.257284 0.400000
2413 4 2704 18378 7.000000 -2.010051 0.400000
2419 4 2711 2715 6.000000 -3.515526 0.400000
2421 4 2715 18210 5.000000 -1.429145 0.400000
2426 4 18210 2728 5.000000 -1.429145 0.400000
2434 4 2728 8637 5.000000 -1.429145 0.400000
2436 4 2250 2738 5.000000 0.060484 0.400000
2444 4 2738 2743 3.000000 0.191920 0.400000
2449 4 2093 2125 2.000000 -0.318892 0.400000
2451 4 2102 2751 4.000000 0.236114 0.400000
2458 4 2751 2761 4.000000 -0.084385 0.400000
2468 4 2761 2762 4.000000 -0.084385 0.400000
2470 4 18213 2751 2.000000 -0.320499 0.400000
2483 4 2615 2775 5.000000 2.064353 0.400000
2492 4 2762 2933 4.000000 -0.209792 0.400000
2494 4 220 2790 3.000000 -0.636178 0.400000
2500 4 2790 2791 6.000000 -1.069751 0.400000
2501 4 2791 2082 4.000000 0.351214 0.400000
2515 4 2804 18217 5.000000 -0.794187 0.400000
2520 4 18217 2813 5.000000 -0.794187 0.400000
2524 4 18218 2820 6.000000 -2.421812 0.400000
2531 4 2820 2822 6.000000 -2.421812 0.400000
2534 4 18220 2822 5.500000 3.719954 0.400000
2536 4 18220 2829 5.500000 -3.719954 0.400000
2537 4 2829 18799 7.000000 -8.128242 0.400000
2539 4 2843 549 2.000000 -0.475869 0.400000
2546 4 2843 4988 2.500000 -0.353388 0.400000
2550 4 29 19962 20.000000 403.279510 0.400000
2551 4 1898 2843 4.000000 -0.829257 0.400000
2552 4 1390 18231 16.000000 16.926296 0.400000
2555 4 2296 2297 18.000000 -16.930000 0.400000
2556 4 2297 2293 18.000000 -16.913830 0.400000
2561 4 2027 2850 3.000000 0.593388 0.400000
2565 4 2850 2861 3.000000 -0.116018 0.400000
2576 4 2850 2525 3.000000 0.709406 0.400000
2581 4 232 2874 4.000000 0.209792 0.400000
2590 4 2861 2878 3.000000 -0.116018 0.400000
2594 4 2878 2885 4.000000 0.317555 0.400000
2601 4 2885 2891 4.000000 0.317555 0.400000
2607 4 2891 2479 4.000000 0.317555 0.400000
2608 4 2874 2928 4.000000 0.209792 0.400000
2609 4 2479 2900 5.000000 -2.772941 0.400000
2616 4 2900 2907 5.000000 -2.772941 0.400000
2623 4 2907 2912 5.000000 -2.772941 0.400000
2628 4 2913 2918 6.500000 -4.591450 0.400000
2633 4 2918 2920 6.000000 -6.304188 0.400000
2635 4 2920 8152 6.000000 -7.383444 0.400000
2643 4 2928 2933 4.000000 0.209792 0.400000
2650 4 2525 18234 6.000000 -3.834657 0.400000
2651 4 18234 2941 6.000000 -3.834657 0.400000
2658 4 2941 2946 6.000000 -3.834657 0.400000
2664 4 2953 2960 4.000000 -0.233824 0.400000
2671 4 2960 2967 4.000000 -0.233824 0.400000
2678 4 2967 2912 4.500000 -0.364509 0.400000
2683 4 2912 2913 6.000000 -3.137450 0.400000
2684 4 2972 18236 3.000000 -0.089744 0.400000
2685 4 18236 2984 3.000000 -0.089744 0.400000
2696 4 2984 2991 3.000000 -0.089744 0.400000
2703 4 2991 3000 4.000000 0.309013 0.400000
2712 4 3000 3007 4.000000 0.073171 0.400000
2718 4 3007 3014 4.000000 0.073171 0.400000
2725 4 3014 3027 4.000000 0.073171 0.400000
2729 4 2991 3021 4.500000 -0.398757 0.400000
2733 4 3023 3021 4.500000 0.806396 0.400000
2734 4 3455 3023 6.000000 0.972860 0.400000
2738 4 2972 3029 4.000000 -0.076601 0.400000
2740 4 3029 3021 3.500000 -0.407639 0.400000
2745 4 2972 18239 3.500000 0.166345 0.400000
2750 4 18239 3045 3.500000 0.166345 0.400000
2756 4 3045 1104 4.000000 0.497383 0.400000
2762 4 3045 3029 4.000000 -0.331038 0.400000
2769 4 3056 3027 4.000000 -0.073171 0.400000
2771 4 3056 3854 5.000000 0.216049 0.400000
2772 4 1774 3066 4.000000 -0.049359 0.400000
2781 4 3066 3076 4.000000 -0.049359 0.400000
2791 4 3076 4141 4.000000 -0.049359 0.400000
2797 4 3083 2278 3.500000 0.194879 0.400000
2799 4 3083 18913 4.500000 -0.080941 0.400000
2802 4 18913 3093 4.500000 -0.080941 0.400000
2808 4 3093 3101 4.500000 -0.080941 0.400000
2823 4 18182 2297 8.000000 0.355051 0.400000
2824 4 2339 3113 8.000000 -0.355051 0.400000
2830 4 3113 3120 5.000000 -0.298853 0.400000
2837 4 3124 3120 2.500000 0.025095 0.400000
2840 4 3124 5636 4.000000 -0.023481 0.400000
2841 4 18182 2330 8.000000 -0.355051 0.400000
2856 4 3142 2775 3.000000 -0.755267 0.400000
2858 4 3142 3149 4.000000 0.562205 0.400000
2863 4 3149 3154 4.000000 0.562205 0.400000
2868 4 3154 3156 2.000000 0.831869 0.400000
2873 4 441 3156 5.000000 -0.983414 0.400000
2874 4 3142 3167 5.500000 0.193061 0.400000
2882 4 3167 3176 5.500000 0.193061 0.400000
2891 4 3176 3185 4.000000 -0.118401 0.400000
2900 4 3186 18253 7.000000 -6.007748 0.400000
2901 4 3176 3197 4.000000 0.311462 0.400000
2911 4 3197 3711 8.000000 1.791204 0.400000
2920 4 3205 18253 7.000000 6.007748 0.400000
2932 4 3216 3224 6.000000 -2.746854 0.400000
2944 4 3232 3224 6.000000 2.746854 0.400000
2949 4 18255 3239 6.000000 -4.716030 0.400000
2954 4 2704 3246 4.000000 -1.247232 0.400000
2963 4 2878 2790 4.000000 -0.433574 0.400000
2967 4 2145 3252 3.000000 -0.026796 0.400000
